NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GO_CATECHOLAMINE_BIOSYNTHETIC_PROCESS	21	16		
GO_POSITIVE_REGULATION_OF_MUSCLE_HYPERTROPHY	44	28		
GO_EMBRYONIC_PATTERN_SPECIFICATION	61	56		
GO_RESPONSE_TO_PROTOZOAN	20	18		
GO_MULTIVESICULAR_BODY_ORGANIZATION	31	31		
GO_RESPONSE_TO_FIBROBLAST_GROWTH_FACTOR	151	127		
GO_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING	27	24		
GO_NUCLEOTIDE_EXCISION_REPAIR_PREINCISION_COMPLEX_ASSEMBLY	29	29		
GO_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION	21	21		
GO_LEARNING	142	128		
GO_CILIUM_ORGANIZATION	372	351		
GO_REGULATION_OF_PHOSPHOLIPASE_ACTIVITY	69	66		
GO_REGULATION_OF_RESPONSE_TO_FOOD	19		Rejected!	
GO_CHONDROCYTE_DIFFERENTIATION	119	115		
GO_REGULATION_OF_CELLULAR_LOCALIZATION	886		Rejected!	
GO_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	34	21		
GO_OVULATION	21	20		
GO_NEGATIVE_REGULATION_OF_TOR_SIGNALING	49	46		
GO_SUBSTANTIA_NIGRA_DEVELOPMENT	43	41		
GO_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA_	35	34		
GO_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE	70	58		
GO_PREPULSE_INHIBITION	15		Rejected!	
GO_REGULATION_OF_EARLY_ENDOSOME_TO_LATE_ENDOSOME_TRANSPORT	17	17		
GO_MIDDLE_EAR_MORPHOGENESIS	20	20		
GO_REGULATION_OF_RECEPTOR_BIOSYNTHETIC_PROCESS	20	18		
GO_JNK_CASCADE	213	200		
GO_RESPONSE_TO_SALT_STRESS	21	19		
GO_PROTEIN_KINASE_B_SIGNALING	269	225		
GO_SOMITOGENESIS	73	63		
GO_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT	69	69		
GO_TRICARBOXYLIC_ACID_METABOLIC_PROCESS	11		Rejected!	
GO_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS	11		Rejected!	
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTRACELLULAR_STIMULUS	15		Rejected!	
GO_HEMATOPOIETIC_STEM_CELL_PROLIFERATION	23	20		
GO_NEGATIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	188	162		
GO_RENAL_TUBULE_DEVELOPMENT	96	93		
GO_CARDIAC_VENTRICLE_MORPHOGENESIS	72	62		
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	95	93		
GO_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION	28	24		
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS	38	31		
GO_PROTEIN_STABILIZATION	175	166		
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_6_SECRETION	27	24		
GO_ASPARTATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS	23	22		
GO_NEGATIVE_REGULATION_OF_LIPASE_ACTIVITY	18	18		
GO_REGULATION_OF_CELLULAR_KETONE_METABOLIC_PROCESS	134	124		
GO_MATURATION_OF_LSU_RRNA	20	20		
GO_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION	16	16		
GO_MUSCLE_ADAPTATION	132	101		
GO_INTERFERON_GAMMA_PRODUCTION	110	99		
GO_OPTIC_NERVE_DEVELOPMENT	12		Rejected!	
GO_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	99	79		
GO_REGULATION_OF_KERATINOCYTE_PROLIFERATION	30	27		
GO_GAS_TRANSPORT	19		Rejected!	
GO_REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	37	27		
GO_REGULATION_OF_MAST_CELL_ACTIVATION	40	39		
GO_MIDBRAIN_DEVELOPMENT	92	81		
GO_NEURON_FATE_SPECIFICATION	34	19		
GO_ORGANIC_ACID_CATABOLIC_PROCESS	250	242		
GO_REPRODUCTIVE_BEHAVIOR	32	26		
GO_AMIDE_BIOSYNTHETIC_PROCESS	861		Rejected!	
GO_POSITIVE_REGULATION_OF_EXOCYTOSIS	86	84		
GO_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET	55	52		
GO_CHEMOSENSORY_BEHAVIOR	17		Rejected!	
GO_PROTEIN_KINASE_C_SIGNALING	27	24		
GO_GLUCOSE_IMPORT	69	58		
GO_SISTER_CHROMATID_COHESION	63	58		
GO_REGULATION_OF_PROTEIN_KINASE_A_SIGNALING	20	18		
GO_HEPATOCYTE_APOPTOTIC_PROCESS	12		Rejected!	
GO_TETRAHYDROFOLATE_METABOLIC_PROCESS	14		Rejected!	
GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	1795		Rejected!	
GO_REGULATION_OF_NECROTIC_CELL_DEATH	40	27		
GO_CELLULAR_RESPONSE_TO_CAMP	52	47		
GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME	84	79		
GO_POSTSYNAPTIC_MEMBRANE_ORGANIZATION	40	38		
GO_CYTOPLASMIC_TRANSLATIONAL_INITIATION	31	31		
GO_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY	16		Rejected!	
GO_CARDIAC_MUSCLE_CELL_DIFFERENTIATION	132	104		
GO_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	57	55		
GO_CILIUM_MOVEMENT	65	59		
GO_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	23	22		
GO_REGULATION_OF_RESPONSE_TO_WOUNDING	171	150		
GO_POSITIVE_T_CELL_SELECTION	35	35		
GO_CELLULAR_RESPONSE_TO_ARSENIC_CONTAINING_SUBSTANCE	18	18		
GO_POSITIVE_REGULATION_OF_RECEPTOR_BIOSYNTHETIC_PROCESS	11		Rejected!	
GO_POSITIVE_REGULATION_OF_STEM_CELL_DIFFERENTIATION	20	18		
GO_REGULATION_OF_HEART_RATE	101	88		
GO_RESPONSE_TO_PLATELET_DERIVED_GROWTH_FACTOR	22	20		
GO_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	156	144		
GO_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	54	48		
GO_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_ABSENCE_OF_LIGAND	46	43		
GO_REGULATION_OF_B_CELL_DIFFERENTIATION	28	26		
GO_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ORGANELLE	39	38		
GO_MRNA_3_END_PROCESSING	98	96		
GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_STRESS	33	27		
GO_REGULATION_OF_LIPASE_ACTIVITY	97	90		
GO_POLARIZED_EPITHELIAL_CELL_DIFFERENTIATION	19	19		
GO_INNATE_IMMUNE_RESPONSE	984		Rejected!	
GO_CARDIAC_RIGHT_VENTRICLE_MORPHOGENESIS	20	15		
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1375		Rejected!	
GO_DIGESTIVE_TRACT_MORPHOGENESIS	49	47		
GO_SPERM_EGG_RECOGNITION	54	38		
GO_GALACTOSE_METABOLIC_PROCESS	7		Rejected!	
GO_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR	26	26		
GO_REGULATION_OF_ACYL_COA_BIOSYNTHETIC_PROCESS	9		Rejected!	
GO_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	36	31		
GO_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_INITIATION	37	34		
GO_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN	46	45		
GO_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	75	74		
GO_GLYOXYLATE_METABOLIC_PROCESS	9		Rejected!	
GO_RELAXATION_OF_MUSCLE	32	28		
GO_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	221	209		
GO_CELLULAR_ANION_HOMEOSTASIS	11		Rejected!	
GO_TOXIN_METABOLIC_PROCESS	23	19		
GO_COVALENT_CHROMATIN_MODIFICATION	467	428		
GO_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	200	188		
GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_ARREST	23	21		
GO_DNA_DEMETHYLATION	26	23		
GO_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT	172	154		
GO_FC_RECEPTOR_SIGNALING_PATHWAY	240	233		
GO_APPENDAGE_DEVELOPMENT	177	165		
GO_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY	54	52		
GO_REGULATION_OF_MITOCHONDRIAL_FISSION	23	22		
GO_NEUTRAL_LIPID_CATABOLIC_PROCESS	40	33		
GO_POSITIVE_REGULATION_OF_CATECHOLAMINE_SECRETION	13		Rejected!	
GO_NEGATIVE_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION	20	18		
GO_PROTEIN_AUTOUBIQUITINATION	68	65		
GO_PORE_COMPLEX_ASSEMBLY	15	15		
GO_PROTEIN_LIPID_COMPLEX_SUBUNIT_ORGANIZATION	50	45		
GO_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS	21	20		
GO_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	557	500		
GO_4_HYDROXYPROLINE_METABOLIC_PROCESS	11		Rejected!	
GO_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION	200	158		
GO_ANION_HOMEOSTASIS	57	49		
GO_LIPOPROTEIN_BIOSYNTHETIC_PROCESS	94	91		
GO_RESPONSE_TO_FOLLICLE_STIMULATING_HORMONE	16		Rejected!	
GO_CELLULAR_POTASSIUM_ION_HOMEOSTASIS	13		Rejected!	
GO_PROTEIN_MANNOSYLATION	25	25		
GO_REGULATION_OF_FATTY_ACID_TRANSPORT	26	24		
GO_HORMONE_BIOSYNTHETIC_PROCESS	86	76		
GO_ELECTRON_TRANSPORT_CHAIN	185	179		
GO_EXTRACELLULAR_REGULATION_OF_SIGNAL_TRANSDUCTION	11		Rejected!	
GO_NUCLEOTIDE_EXCISION_REPAIR_DNA_GAP_FILLING	23	23		
GO_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS	25	24		
GO_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	917		Rejected!	
GO_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING	29	26		
GO_ONE_CARBON_METABOLIC_PROCESS	27	26		
GO_TRANSEPITHELIAL_TRANSPORT	18	16		
GO_VACUOLAR_ACIDIFICATION	22	22		
GO_CELL_DIFFERENTIATION_IN_HINDBRAIN	19	17		
GO_POSITIVE_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION	9		Rejected!	
GO_NEGATIVE_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	96	94		
GO_REGULATION_OF_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY	14		Rejected!	
GO_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	35	34		
GO_GLYCOPROTEIN_CATABOLIC_PROCESS	21	18		
GO_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS	26	25		
GO_RENAL_WATER_HOMEOSTASIS	36	33		
GO_REGULATION_OF_DNA_METHYLATION	28	18		
GO_HEART_VALVE_FORMATION	13		Rejected!	
GO_MITOTIC_NUCLEAR_DIVISION	282	270		
GO_NEGATIVE_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION	49	44		
GO_FAT_SOLUBLE_VITAMIN_METABOLIC_PROCESS	43	40		
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	193	175		
GO_NUCLEOTIDE_TRANSMEMBRANE_TRANSPORT	7		Rejected!	
GO_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS	297	256		
GO_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION	48	47		
GO_REGULATION_OF_PSEUDOPODIUM_ASSEMBLY	14		Rejected!	
GO_PALLIUM_DEVELOPMENT	172	148		
GO_REGULATION_OF_RESPONSE_TO_STRESS	1497		Rejected!	
GO_CARDIAC_CELL_FATE_COMMITMENT	14		Rejected!	
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION	51	45		
GO_MYOFIBRIL_ASSEMBLY	70	59		
GO_NEGATIVE_REGULATION_OF_CHEMOTAXIS	64	58		
GO_BLOOD_COAGULATION_INTRINSIC_PATHWAY	18	16		
GO_GLOMERULUS_DEVELOPMENT	61	58		
GO_TELOMERE_MAINTENANCE_VIA_RECOMBINATION	15	15		
GO_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	48	45		
GO_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION	32	29		
GO_CELLULAR_RESPONSE_TO_THYROID_HORMONE_STIMULUS	16	15		
GO_POSITIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY	151	149		
GO_MITOCHONDRIAL_RNA_PROCESSING	15		Rejected!	
GO_CELLULAR_LIPID_CATABOLIC_PROCESS	207	193		
GO_REGULATION_OF_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	34	27		
GO_POSITIVE_REGULATION_OF_HAIR_CYCLE	12		Rejected!	
GO_SYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT	21	17		
GO_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION	63	62		
GO_MULTICELLULAR_ORGANISM_GROWTH	148	135		
GO_GRANULOCYTE_MIGRATION	136	123		
GO_POSITIVE_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	24	22		
GO_NCRNA_METABOLIC_PROCESS	461	417		
GO_PHOSPHATE_ION_TRANSPORT	26	25		
GO_NEGATIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY	51	45		
GO_POSITIVE_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION	53	47		
GO_REGULATION_OF_CELLULAR_EXTRAVASATION	24	24		
GO_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS	69	57		
GO_PURINE_NUCLEOBASE_BIOSYNTHETIC_PROCESS	11		Rejected!	
GO_MITOTIC_G2_DNA_DAMAGE_CHECKPOINT	21	20		
GO_POSITIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	26	25		
GO_NEGATIVE_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT	20	20		
GO_POSITIVE_REGULATION_OF_CELL_ACTIVATION	389	365		
GO_CARBOHYDRATE_BIOSYNTHETIC_PROCESS	209	191		
GO_AMINO_SUGAR_METABOLIC_PROCESS	24	24		
GO_REGULATION_OF_CYTOKINESIS	89	77		
GO_VITAMIN_BIOSYNTHETIC_PROCESS	23	23		
GO_POSITIVE_REGULATION_OF_NON_CANONICAL_WNT_SIGNALING_PATHWAY	12		Rejected!	
GO_MUSCLE_ORGAN_MORPHOGENESIS	88	71		
GO_AMINO_ACID_TRANSPORT	141	123		
GO_CELLULAR_RESPONSE_TO_EPINEPHRINE_STIMULUS	13		Rejected!	
GO_POSITIVE_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN	20	20		
GO_REGULATION_OF_MICROTUBULE_BASED_MOVEMENT	26	26		
GO_EXOCRINE_SYSTEM_DEVELOPMENT	48	42		
GO_AMINOGLYCAN_METABOLIC_PROCESS	133	128		
GO_NEGATIVE_REGULATION_OF_MYOBLAST_DIFFERENTIATION	25	25		
GO_REGULATION_OF_FEVER_GENERATION	8		Rejected!	
GO_MACROPHAGE_ACTIVATION	92	79		
GO_CARDIOBLAST_DIFFERENTIATION	19	16		
GO_CELL_CYCLE_G1_S_PHASE_TRANSITION	293	248		
GO_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	378	327		
GO_BLOOD_VESSEL_MORPHOGENESIS	682		Rejected!	
GO_REGULATION_OF_URINE_VOLUME	21	19		
GO_PHOTORECEPTOR_CELL_DEVELOPMENT	47	39		
GO_SYNAPTIC_TRANSMISSION_DOPAMINERGIC	31	20		
GO_PROTEIN_PHOSPHORYLATION	1967		Rejected!	
GO_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION	181	155		
GO_REGULATION_OF_CELL_DIFFERENTIATION	1863		Rejected!	
GO_MAINTENANCE_OF_GASTROINTESTINAL_EPITHELIUM	20	16		
GO_ENDOTHELIUM_DEVELOPMENT	127	112		
GO_DOUBLE_STRAND_BREAK_REPAIR	239	213		
GO_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	238	231		
GO_REGULATION_OF_NEURON_MIGRATION	40	36		
GO_METHIONINE_BIOSYNTHETIC_PROCESS	12		Rejected!	
GO_MESONEPHRIC_TUBULE_MORPHOGENESIS	67	64		
GO_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	59	55		
GO_RESPONSE_TO_INTERLEUKIN_1	198	191		
GO_EMBRYONIC_HINDLIMB_MORPHOGENESIS	28	24		
GO_WATER_SOLUBLE_VITAMIN_METABOLIC_PROCESS	84	79		
GO_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND	71	68		
GO_RNA_CAPPING	34	34		
GO_LIVER_REGENERATION	33	33		
GO_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS	103	100		
GO_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE	220	183		
GO_SPINAL_CORD_PATTERNING	24	18		
GO_DNA_REPLICATION_INITIATION	37	37		
GO_ERYTHROCYTE_MATURATION	15		Rejected!	
GO_POSITIVE_REGULATION_OF_DENDRITE_DEVELOPMENT	69	69		
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	23	21		
GO_BASIC_AMINO_ACID_TRANSPORT	15		Rejected!	
GO_REGULATION_OF_CAMP_MEDIATED_SIGNALING	50	40		
GO_CELL_MIGRATION_INVOLVED_IN_GASTRULATION	15		Rejected!	
GO_ASTROCYTE_DIFFERENTIATION	79	73		
GO_PROTEIN_MONOUBIQUITINATION	67	66		
GO_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_PROLIFERATION	19	19		
GO_FACE_DEVELOPMENT	50	49		
GO_RNA_DESTABILIZATION	31	31		
GO_RESPONSE_TO_ESTROGEN	71	65		
GO_DETOXIFICATION	127	111		
GO_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	37	34		
GO_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	13		Rejected!	
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	327	319		
GO_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	557		Rejected!	
GO_REGULATION_OF_PEPTIDASE_ACTIVITY	443	370		
GO_POSITIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	333	317		
GO_BROWN_FAT_CELL_DIFFERENTIATION	41	35		
GO_INOSITOL_METABOLIC_PROCESS	7		Rejected!	
GO_REGULATION_OF_CENTROSOME_CYCLE	58	57		
GO_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY	645		Rejected!	
GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	1631		Rejected!	
GO_PROTEIN_ADP_RIBOSYLATION	33	30		
GO_CELLULAR_SODIUM_ION_HOMEOSTASIS	17		Rejected!	
GO_NEGATIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT	27	25		
GO_CHONDROITIN_SULFATE_BIOSYNTHETIC_PROCESS	26	26		
GO_PROTEIN_SUMOYLATION	79	74		
GO_MEGAKARYOCYTE_DEVELOPMENT	15	15		
GO_REGULATION_OF_HISTONE_H3_K9_METHYLATION	24	20		
GO_VASODILATION	33	28		
GO_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE	335	297		
GO_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION	1147		Rejected!	
GO_NEURONAL_ION_CHANNEL_CLUSTERING	12		Rejected!	
GO_POSITIVE_REGULATION_OF_AXON_EXTENSION	40	38		
GO_PIGMENT_CELL_DIFFERENTIATION	34	32		
GO_ORGAN_GROWTH	202	168		
GO_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION	168	157		
GO_REGULATION_OF_BONE_REMODELING	44	39		
GO_GLUCOCORTICOID_BIOSYNTHETIC_PROCESS	18		Rejected!	
GO_NERVE_DEVELOPMENT	77	66		
GO_REGULATION_OF_NEUROBLAST_PROLIFERATION	31	26		
GO_DETECTION_OF_MOLECULE_OF_BACTERIAL_ORIGIN	11		Rejected!	
GO_PHAGOSOME_ACIDIFICATION	28	27		
GO_REGULATION_OF_CELL_SIZE	174	168		
GO_TETRAPYRROLE_METABOLIC_PROCESS	30	25		
GO_REGULATION_OF_CENTROSOME_DUPLICATION	43	42		
GO_VENTRAL_SPINAL_CORD_INTERNEURON_DIFFERENTIATION	17		Rejected!	
GO_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY	281	257		
GO_POSITIVE_REGULATION_OF_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT	63	44		
GO_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION	287	248		
GO_REGULATION_OF_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL	102	90		
GO_KERATAN_SULFATE_CATABOLIC_PROCESS	12		Rejected!	
GO_BLASTOCYST_DEVELOPMENT	98	91		
GO_REGULATION_OF_GRANULOCYTE_CHEMOTAXIS	43	39		
GO_CHROMATIN_ORGANIZATION	792		Rejected!	
GO_POSITIVE_REGULATION_OF_CYTOKINESIS	40	29		
GO_EPHRIN_RECEPTOR_SIGNALING_PATHWAY	86	82		
GO_ORGANIC_ANION_TRANSPORT	485	437		
GO_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	1616		Rejected!	
GO_BICARBONATE_TRANSPORT	42	39		
GO_POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	27	26		
GO_NEGATIVE_REGULATION_OF_PATHWAY_RESTRICTED_SMAD_PROTEIN_PHOSPHORYLATION	12		Rejected!	
GO_SEGMENTATION	103	91		
GO_POSITIVE_REGULATION_OF_PEPTIDASE_ACTIVITY	190	171		
GO_POSITIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION	18	18		
GO_PYRIMIDINE_CONTAINING_COMPOUND_SALVAGE	12		Rejected!	
GO_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION	32	29		
GO_TRNA_METHYLATION	39	38		
GO_INTERACTION_WITH_HOST	210	201		
GO_GASTRULATION	182	163		
GO_RESPONSE_TO_UV	138	133		
GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	141	124		
GO_NEGATIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT	194	111		
GO_VIRAL_GENOME_REPLICATION	123	113		
GO_NUCLEOTIDE_EXCISION_REPAIR	109	107		
GO_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS	46	45		
GO_NEGATIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	19	17		
GO_GOLGI_TO_ENDOSOME_TRANSPORT	17	17		
GO_REGULATION_OF_MUSCLE_HYPERTROPHY	78	55		
GO_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORT	117	103		
GO_SULFUR_COMPOUND_TRANSPORT	43	41		
GO_FATTY_ACID_BIOSYNTHETIC_PROCESS	153	134		
GO_HEART_FORMATION	30	27		
GO_RECEPTOR_INTERNALIZATION	109	100		
GO_POSITIVE_REGULATION_OF_MAST_CELL_ACTIVATION	19	18		
GO_REGULATION_OF_ODONTOGENESIS	27	21		
GO_PARTURITION	16	15		
GO_NEGATIVE_REGULATION_OF_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	15	15		
GO_ALPHA_LINOLENIC_ACID_METABOLIC_PROCESS	13		Rejected!	
GO_REGULATION_OF_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION	16	16		
GO_HOMEOSTASIS_OF_NUMBER_OF_CELLS	248	242		
GO_MEIOTIC_CHROMOSOME_SEPARATION	25	23		
GO_DIOL_METABOLIC_PROCESS	5		Rejected!	
GO_REGULATION_OF_RYANODINE_SENSITIVE_CALCIUM_RELEASE_CHANNEL_ACTIVITY	26	25		
GO_OXYGEN_TRANSPORT	15		Rejected!	
GO_REGULATION_OF_LIPID_TRANSPORT	124	101		
GO_POSITIVE_REGULATION_OF_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS	12		Rejected!	
GO_REGULATION_OF_REPRODUCTIVE_PROCESS	158	133		
GO_REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS	23	23		
GO_POSITIVE_REGULATION_OF_HORMONE_SECRETION	129	114		
GO_ORGAN_INDUCTION	22	21		
GO_DNA_STRAND_ELONGATION	21	21		
GO_REGULATION_OF_CELL_DIVISION	168	148		
GO_MULTIVESICULAR_BODY_SORTING_PATHWAY	32	32		
GO_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY	151	144		
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	71	67		
GO_NOTCH_SIGNALING_PATHWAY	194	179		
GO_OUTER_DYNEIN_ARM_ASSEMBLY	17	15		
GO_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	23	22		
GO_RESPONSE_TO_RADIATION	448	407		
GO_BILE_ACID_AND_BILE_SALT_TRANSPORT	25	21		
GO_HEART_DEVELOPMENT	573		Rejected!	
GO_TISSUE_REGENERATION	70	56		
GO_MESODERM_MORPHOGENESIS	76	66		
GO_NEGATIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY	29	28		
GO_RECEPTOR_METABOLIC_PROCESS	186	174		
GO_NUCLEOSIDE_SALVAGE	16	16		
GO_INFLAMMATORY_RESPONSE	722		Rejected!	
GO_TRNA_TRANSPORT	36	35		
GO_REGULATION_OF_NIK_NF_KAPPAB_SIGNALING	111	99		
GO_NEGATIVE_REGULATION_OF_ANOIKIS	17		Rejected!	
GO_POSITIVE_REGULATION_OF_LIGASE_ACTIVITY	7		Rejected!	
GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_HYPOXIA	76	74		
GO_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT	236	226		
GO_PIGMENT_GRANULE_ORGANIZATION	26	26		
GO_REGULATION_OF_CELL_CYCLE	1212		Rejected!	
GO_TUBE_DEVELOPMENT	1105		Rejected!	
GO_LOCOMOTION	1943		Rejected!	
GO_ACROSOME_ASSEMBLY	15		Rejected!	
